COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,date
Switzerland,JAN2010,January 2010,2010,1,January,Solar,3.473,3,94.0,,0.0006271677965498,2010-01-01
Switzerland,JAN2010,January 2010,2010,1,January,Geothermal,0.0,4,0.0,,0.0,2010-01-01
United Kingdom,JAN2010,January 2010,2010,1,January,Hydro,625.512,1,6705.002,,0.0166760282573676,2010-01-01
United Kingdom,JAN2010,January 2010,2010,1,January,Wind,946.118,2,10285.999,,0.0252233218592196,2010-01-01
United Kingdom,JAN2010,January 2010,2010,1,January,Solar,1.195,3,40.0,,3.185846757145248e-05,2010-01-01
United Kingdom,JAN2010,January 2010,2010,1,January,Geothermal,0.0,4,0.0,,0.0,2010-01-01
United Kingdom,JAN2010,January 2010,2010,1,January,Other renewables,0.167,5,2.004,,4.45218751835361e-06,2010-01-01
United States,JAN2010,January 2010,2010,1,January,Hydro,24283.86,1,284270.0,,0.0666642642430082,2010-01-01
United States,JAN2010,January 2010,2010,1,January,Wind,6964.964,2,94651.999,,0.0191202799118031,2010-01-01
United States,JAN2010,January 2010,2010,1,January,Solar,28.868,3,3847.998,,7.924868534768207e-05,2010-01-01
United States,JAN2010,January 2010,2010,1,January,Geothermal,1333.378,4,15219.001,,0.0036604009135209,2010-01-01
Australia,FEB2010,February 2010,2010,2,February,Hydro,983.425,1,16471.891,,0.0513869204017295,2010-02-01
Australia,FEB2010,February 2010,2010,2,February,Wind,390.199,2,4940.909,,0.020389073852947,2010-02-01
Australia,FEB2010,February 2010,2010,2,February,Solar,38.884,3,908.238,,0.002031806200677,2010-02-01
Australia,FEB2010,February 2010,2010,2,February,Geothermal,0.083,4,0.996,,4.337000171180875e-06,2010-02-01
Austria,FEB2010,February 2010,2010,2,February,Hydro,2235.792,1,39502.566,,0.4218000349771922,2010-02-01
Austria,FEB2010,February 2010,2010,2,February,Wind,191.396,2,1961.814,,0.0361083855271396,2010-02-01
Austria,FEB2010,February 2010,2010,2,February,Solar,4.692,3,84.421,,0.0008851833104837,2010-02-01
Austria,FEB2010,February 2010,2010,2,February,Geothermal,0.111,4,1.332,,2.0941037396353655e-05,2010-02-01
Belgium,FEB2010,February 2010,2010,2,February,Hydro,149.246,1,1645.999,,0.0193016807461706,2010-02-01
Belgium,FEB2010,February 2010,2010,2,February,Wind,123.006,2,1286.0,,0.0159081150708458,2010-02-01
Belgium,FEB2010,February 2010,2010,2,February,Solar,10.285,3,560.0,,0.0013301380705302,2010-02-01
Canada,FEB2010,February 2010,2010,2,February,Hydro,33436.818,1,347981.0,,0.6275427118269407,2010-02-01
Canada,FEB2010,February 2010,2010,2,February,Wind,453.208,2,8637.002,,0.0085058146783484,2010-02-01
Canada,FEB2010,February 2010,2010,2,February,Solar,6.657,3,253.0,,0.000124938677856,2010-02-01
Canada,FEB2010,February 2010,2010,2,February,Other renewables,2.038,5,28.0,,3.8249215182596174e-05,2010-02-01
Chile,FEB2010,February 2010,2010,2,February,Hydro,1741.263,1,21641.001,,0.3961060985438645,2010-02-01
Chile,FEB2010,February 2010,2010,2,February,Wind,15.111,2,332.001,,0.0034374814459942,2010-02-01
Czech Republic,FEB2010,February 2010,2010,2,February,Hydro,222.3,1,3366.0,,0.0321117019202017,2010-02-01
Czech Republic,FEB2010,February 2010,2010,2,February,Wind,23.162,2,334.999,,0.0033457995495983,2010-02-01
Czech Republic,FEB2010,February 2010,2010,2,February,Solar,17.114,3,612.002,,0.0024721532463442,2010-02-01
Denmark,FEB2010,February 2010,2010,2,February,Hydro,1.05,1,21.0,,0.0002777162834578,2010-02-01
Denmark,FEB2010,February 2010,2010,2,February,Wind,516.934,2,7808.998,,0.1367247516885811,2010-02-01
Denmark,FEB2010,February 2010,2010,2,February,Solar,0.167,3,6.0,,4.417011365472778e-05,2010-02-01
Estonia,FEB2010,February 2010,2010,2,February,Hydro,1.261,1,27.0,,0.0012113841288505,2010-02-01
Estonia,FEB2010,February 2010,2010,2,February,Wind,19.335,2,277.002,,0.0185742364245243,2010-02-01
Finland,FEB2010,February 2010,2010,2,February,Hydro,945.368,1,12743.0,,0.1257358001118812,2010-02-01
Finland,FEB2010,February 2010,2010,2,February,Wind,20.068,2,293.998,,0.0026690834010091,2010-02-01
Finland,FEB2010,February 2010,2010,2,February,Solar,0.179,3,4.74,,2.3807351444122015e-05,2010-02-01
France,FEB2010,February 2010,2010,2,February,Hydro,5756.909,1,66698.555,,0.1156551144124803,2010-02-01
France,FEB2010,February 2010,2010,2,February,Wind,1002.742,2,9945.0,,0.0201448799583594,2010-02-01
France,FEB2010,February 2010,2010,2,February,Solar,17.265,3,620.001,,0.0003468502889886,2010-02-01
France,FEB2010,February 2010,2010,2,February,Other renewables,39.167,5,470.004,,0.0007868569515678,2010-02-01
Germany,FEB2010,February 2010,2010,2,February,Hydro,1780.047,1,26969.001,,0.034597318833008,2010-02-01
Germany,FEB2010,February 2010,2010,2,February,Wind,3695.588,2,37793.002,,0.0718281238143928,2010-02-01
Germany,FEB2010,February 2010,2010,2,February,Solar,533.211,3,11728.998,,0.010363586451519,2010-02-01
Germany,FEB2010,February 2010,2010,2,February,Geothermal,2.086,4,20.0,,4.054387726035031e-05,2010-02-01
Greece,FEB2010,February 2010,2010,2,February,Hydro,941.434,1,7456.001,,0.2255272593294938,2010-02-01
Greece,FEB2010,February 2010,2010,2,February,Wind,258.804,2,2714.001,,0.0619983523258245,2010-02-01
Greece,FEB2010,February 2010,2010,2,February,Solar,13.167,3,158.004,,0.0031542491811337,2010-02-01
Hungary,FEB2010,February 2010,2010,2,February,Hydro,17.25,1,184.0,,0.0056099768478694,2010-02-01
Hungary,FEB2010,February 2010,2010,2,February,Wind,49.188,2,522.998,,0.0159967270256813,2010-02-01
Hungary,FEB2010,February 2010,2010,2,February,Solar,0.032,3,0.851,,1.040691357285929e-05,2010-02-01
IEA Total,FEB2010,February 2010,2010,2,February,Hydro,114470.445,1,1375803.121,,0.1360687350534107,2010-02-01
IEA Total,FEB2010,February 2010,2010,2,February,Wind,21326.889,2,265953.423,,0.0253508476258172,2010-02-01
IEA Total,FEB2010,February 2010,2010,2,February,Solar,1440.897,3,30612.62,,0.001712765527663,2010-02-01
IEA Total,FEB2010,February 2010,2010,2,February,Geothermal,2640.212,4,35313.812,,0.0031383673498677,2010-02-01
IEA Total,FEB2010,February 2010,2010,2,February,Other renewables,41.372,5,500.008,,4.9178071305914e-05,2010-02-01
Iceland,FEB2010,February 2010,2010,2,February,Hydro,987.579,1,12509.999,,0.7414874662978672,2010-02-01
Iceland,FEB2010,February 2010,2010,2,February,Geothermal,344.143,4,4234.0,,0.2583871478779387,2010-02-01
Ireland,FEB2010,February 2010,2010,2,February,Hydro,91.526,1,768.031,,0.0391578700576163,2010-02-01
Ireland,FEB2010,February 2010,2010,2,February,Wind,150.521,2,2814.658,,0.0643978952313273,2010-02-01
Ireland,FEB2010,February 2010,2010,2,February,Solar,0.024,3,0.476,,1.0267999053632755e-05,2010-02-01
Italy,FEB2010,February 2010,2010,2,February,Hydro,3342.91,1,53795.241,,0.144805018020978,2010-02-01
Italy,FEB2010,February 2010,2010,2,February,Wind,930.223,2,9048.0,,0.0402945213237952,2010-02-01
Italy,FEB2010,February 2010,2010,2,February,Solar,83.159,3,1874.003,,0.0036022030188089,2010-02-01
Italy,FEB2010,February 2010,2010,2,February,Geothermal,394.137,4,5045.999,,0.0170728543058994,2010-02-01
Japan,FEB2010,February 2010,2010,2,February,Hydro,5619.878,1,94649.965,,0.0629440550278282,2010-02-01
Japan,FEB2010,February 2010,2010,2,February,Wind,567.873,2,3418.734,,0.0063603212313181,2010-02-01
Japan,FEB2010,February 2010,2010,2,February,Solar,193.947,3,1582.15,,0.0021722554547415,2010-02-01
Japan,FEB2010,February 2010,2010,2,February,Geothermal,208.19,4,2456.759,,0.0023317806572035,2010-02-01
Korea,FEB2010,February 2010,2010,2,February,Hydro,373.04,1,6406.001,,0.0098687929897918,2010-02-01
Korea,FEB2010,February 2010,2010,2,February,Wind,68.083,2,816.996,,0.0018011393768067,2010-02-01
Korea,FEB2010,February 2010,2010,2,February,Solar,62.436,3,772.001,,0.0016517476922331,2010-02-01
Latvia,FEB2010,February 2010,2010,2,February,Hydro,119.102,1,3487.998,,0.2424236256276753,2010-02-01
Latvia,FEB2010,February 2010,2010,2,February,Wind,3.109,2,48.703,,0.0063281477395546,2010-02-01
Latvia,FEB2010,February 2010,2010,2,February,Solar,0.0,3,0.0,,0.0,2010-02-01
Lithuania,FEB2010,February 2010,2010,2,February,Hydro,103.759,1,1274.999,,0.144521407509447,2010-02-01
Lithuania,FEB2010,February 2010,2010,2,February,Wind,18.583,2,222.996,,0.0258834541172144,2010-02-01
